SampleRate,BitRate,Duration,SamplesPerSymbol,ActualBitrate,ActualBitrate
3170.0,150.0,140000.0,21.133333333333333,7.142857142857143,315.4574132492114
3169.0,150.0,140000.0,21.126666666666665,7.142857142857143,315.5569580309246
2376.0,200.0,140000.0,11.88,7.142857142857143,420.87542087542084
2376.0,200.0,140000.0,11.88,7.142857142857143,420.87542087542084
2376.0,200.0,140000.0,11.88,7.142857142857143,420.87542087542084
1902.0,250.0,140000.0,7.608,7.142857142857143,525.7623554153523
1901.0,250.0,140000.0,7.604,7.142857142857143,526.0389268805892
1901.0,250.0,140000.0,7.604,7.142857142857143,526.0389268805892
1583.0,300.0,140000.0,5.276666666666666,7.142857142857143,631.7119393556538
1584.0,300.0,140000.0,5.28,7.142857142857143,631.3131313131314
1582.0,300.0,140000.0,5.273333333333333,7.142857142857143,632.1112515802782
1358.0,350.0,140000.0,3.88,7.142857142857143,736.377025036819
1358.0,350.0,140000.0,3.88,7.142857142857143,736.377025036819
1360.0,350.0,140000.0,3.8857142857142857,7.142857142857143,735.2941176470589
1189.0,400.0,140000.0,2.9725,7.142857142857143,841.0428931875526
1189.0,400.0,140000.0,2.9725,7.142857142857143,841.0428931875526
1189.0,400.0,140000.0,2.9725,7.142857142857143,841.0428931875526
1056.0,450.0,140000.0,2.3466666666666667,7.142857142857143,946.9696969696971
1056.0,450.0,140000.0,2.3466666666666667,7.142857142857143,946.9696969696971
1056.0,450.0,140000.0,2.3466666666666667,7.142857142857143,946.9696969696971
951.0,500.0,140000.0,1.902,7.142857142857143,1051.5247108307046
951.0,500.0,140000.0,1.902,7.142857142857143,1051.5247108307046
951.0,500.0,140000.0,1.902,7.142857142857143,1051.5247108307046
5100.0,100.0,150000.0,51.0,6.666666666666667,196.07843137254903
5090.0,100.0,150000.0,50.9,6.666666666666667,196.46365422396858
5100.0,100.0,150000.0,51.0,6.666666666666667,196.07843137254903
3403.0,150.0,150000.0,22.686666666666667,6.666666666666667,293.8583602703497
3394.0,150.0,150000.0,22.626666666666665,6.666666666666667,294.6375957572186
3394.0,150.0,150000.0,22.626666666666665,6.666666666666667,294.6375957572186
2546.0,200.0,150000.0,12.73,6.666666666666667,392.77297721916733
2545.0,200.0,150000.0,12.725,6.666666666666667,392.92730844793715
2555.0,200.0,150000.0,12.775,6.666666666666667,391.3894324853229
2037.0,250.0,150000.0,8.148,6.666666666666667,490.91801669121264
2036.0,250.0,150000.0,8.144,6.666666666666667,491.1591355599214
2036.0,250.0,150000.0,8.144,6.666666666666667,491.1591355599214
1706.0,300.0,150000.0,5.6866666666666665,6.666666666666667,586.166471277843
1698.0,300.0,150000.0,5.66,6.666666666666667,588.9281507656067
1697.0,300.0,150000.0,5.656666666666666,6.666666666666667,589.2751915144372
1454.0,350.0,150000.0,4.154285714285714,6.666666666666667,687.757909215956
1462.0,350.0,150000.0,4.177142857142857,6.666666666666667,683.9945280437756
1455.0,350.0,150000.0,4.1571428571428575,6.666666666666667,687.2852233676977
1274.0,400.0,150000.0,3.185,6.666666666666667,784.9293563579278
1273.0,400.0,150000.0,3.1825,6.666666666666667,785.5459544383347
1282.0,400.0,150000.0,3.205,6.666666666666667,780.0312012480499
1131.0,450.0,150000.0,2.513333333333333,6.666666666666667,884.1732979664015
1131.0,450.0,150000.0,2.513333333333333,6.666666666666667,884.1732979664015
1131.0,450.0,150000.0,2.513333333333333,6.666666666666667,884.1732979664015
1019.0,500.0,150000.0,2.038,6.666666666666667,981.3542688910698
1019.0,500.0,150000.0,2.038,6.666666666666667,981.3542688910698
1019.0,500.0,150000.0,2.038,6.666666666666667,981.3542688910698
5440.0,100.0,160000.0,54.4,6.25,183.82352941176472
5431.0,100.0,160000.0,54.31,6.25,184.12815319462345
5432.0,100.0,160000.0,54.32,6.25,184.09425625920474
3629.0,150.0,160000.0,24.19333333333333,6.25,275.5580049600441
3618.0,150.0,160000.0,24.12,6.25,276.3957987838585
3627.0,150.0,160000.0,24.18,6.25,275.70995312930796
2715.0,200.0,160000.0,13.575,6.25,368.3241252302026
2715.0,200.0,160000.0,13.575,6.25,368.3241252302026
2717.0,200.0,160000.0,13.585,6.25,368.05299963194705
2173.0,250.0,160000.0,8.692,6.25,460.1932811780948
2174.0,250.0,160000.0,8.696,6.25,459.98160073597063
2173.0,250.0,160000.0,8.692,6.25,460.1932811780948
1819.0,300.0,160000.0,6.0633333333333335,6.25,549.7526113249038
1810.0,300.0,160000.0,6.033333333333333,6.25,552.4861878453039
1810.0,300.0,160000.0,6.033333333333333,6.25,552.4861878453039
1552.0,350.0,160000.0,4.434285714285714,6.25,644.3298969072165
1562.0,350.0,160000.0,4.462857142857143,6.25,640.2048655569782
1552.0,350.0,160000.0,4.434285714285714,6.25,644.3298969072165
1359.0,400.0,160000.0,3.3975,6.25,735.8351729212657
1359.0,400.0,160000.0,3.3975,6.25,735.8351729212657
1360.0,400.0,160000.0,3.4,6.25,735.2941176470589
1206.0,450.0,160000.0,2.68,6.25,829.1873963515754
1206.0,450.0,160000.0,2.68,6.25,829.1873963515754
1215.0,450.0,160000.0,2.7,6.25,823.0452674897119
1087.0,500.0,160000.0,2.174,6.25,919.9632014719413
1087.0,500.0,160000.0,2.174,6.25,919.9632014719413
1086.0,500.0,160000.0,2.172,6.25,920.8103130755065
5771.0,100.0,170000.0,57.71,5.882352941176471,173.28019407381737
5781.0,100.0,170000.0,57.81,5.882352941176471,172.98045320878742
5770.0,100.0,170000.0,57.7,5.882352941176471,173.3102253032929
3847.0,150.0,170000.0,25.64666666666667,5.882352941176471,259.94281258123215
3846.0,150.0,170000.0,25.64,5.882352941176471,260.01040041601664
3856.0,150.0,170000.0,25.706666666666667,5.882352941176471,259.33609958506224
2885.0,200.0,170000.0,14.425,5.882352941176471,346.6204506065858
2894.0,200.0,170000.0,14.47,5.882352941176471,345.54250172771253
2885.0,200.0,170000.0,14.425,5.882352941176471,346.6204506065858
2308.0,250.0,170000.0,9.232,5.882352941176471,433.2755632582323
2308.0,250.0,170000.0,9.232,5.882352941176471,433.2755632582323
2308.0,250.0,170000.0,9.232,5.882352941176471,433.2755632582323
1922.0,300.0,170000.0,6.406666666666666,5.882352941176471,520.2913631633716
1921.0,300.0,170000.0,6.403333333333333,5.882352941176471,520.5622071837585
1921.0,300.0,170000.0,6.403333333333333,5.882352941176471,520.5622071837585
1655.0,350.0,170000.0,4.728571428571429,5.882352941176471,604.2296072507553
1648.0,350.0,170000.0,4.708571428571428,5.882352941176471,606.7961165048544
1646.0,350.0,170000.0,4.702857142857143,5.882352941176471,607.5334143377886
1443.0,400.0,170000.0,3.6075,5.882352941176471,693.0006930006931
1452.0,400.0,170000.0,3.63,5.882352941176471,688.7052341597796
1444.0,400.0,170000.0,3.61,5.882352941176471,692.5207756232687
1280.0,450.0,170000.0,2.8444444444444446,5.882352941176471,781.2500000000001
1279.0,450.0,170000.0,2.8422222222222224,5.882352941176471,781.8608287724785
1288.0,450.0,170000.0,2.862222222222222,5.882352941176471,776.3975155279504
1155.0,500.0,170000.0,2.31,5.882352941176471,865.8008658008658
1154.0,500.0,170000.0,2.308,5.882352941176471,866.5511265164646
1154.0,500.0,170000.0,2.308,5.882352941176471,866.5511265164646
6108.0,100.0,180000.0,61.08,5.555555555555555,163.71971185330713
6118.0,100.0,180000.0,61.18,5.555555555555555,163.45210853220007
6118.0,100.0,180000.0,61.18,5.555555555555555,163.45210853220007
4073.0,150.0,180000.0,27.153333333333332,5.555555555555555,245.51927326295112
4074.0,150.0,180000.0,27.16,5.555555555555555,245.45900834560632
4084.0,150.0,180000.0,27.226666666666667,5.555555555555555,244.85798237022527
3055.0,200.0,180000.0,15.275,5.555555555555555,327.33224222585926
3065.0,200.0,180000.0,15.325,5.555555555555555,326.2642740619902
3055.0,200.0,180000.0,15.275,5.555555555555555,327.33224222585926
2444.0,250.0,180000.0,9.776,5.555555555555555,409.16530278232403
2445.0,250.0,180000.0,9.78,5.555555555555555,408.997955010225
2453.0,250.0,180000.0,9.812,5.555555555555555,407.6640847941297
2037.0,300.0,180000.0,6.79,5.555555555555555,490.91801669121264
2038.0,300.0,180000.0,6.793333333333333,5.555555555555555,490.6771344455349
2037.0,300.0,180000.0,6.79,5.555555555555555,490.91801669121264
1755.0,350.0,180000.0,5.014285714285714,5.555555555555555,569.8005698005699
1745.0,350.0,180000.0,4.985714285714286,5.555555555555555,573.0659025787966
1745.0,350.0,180000.0,4.985714285714286,5.555555555555555,573.0659025787966
1528.0,400.0,180000.0,3.82,5.555555555555555,654.4502617801048
1538.0,400.0,180000.0,3.845,5.555555555555555,650.1950585175554
1528.0,400.0,180000.0,3.82,5.555555555555555,654.4502617801048
1358.0,450.0,180000.0,3.017777777777778,5.555555555555555,736.377025036819
1358.0,450.0,180000.0,3.017777777777778,5.555555555555555,736.377025036819
1368.0,450.0,180000.0,3.04,5.555555555555555,730.9941520467837
1222.0,500.0,180000.0,2.444,5.555555555555555,818.3306055646481
1223.0,500.0,180000.0,2.446,5.555555555555555,817.6614881439085
1231.0,500.0,180000.0,2.462,5.555555555555555,812.3476848090984
6459.0,100.0,190000.0,64.59,5.2631578947368425,154.82272797646695
6450.0,100.0,190000.0,64.5,5.2631578947368425,155.03875968992247
6461.0,100.0,190000.0,64.61,5.2631578947368425,154.7748026621266
4297.0,150.0,190000.0,28.64666666666667,5.2631578947368425,232.7205026762858
4307.0,150.0,190000.0,28.713333333333335,5.2631578947368425,232.18017181332715
4297.0,150.0,190000.0,28.64666666666667,5.2631578947368425,232.7205026762858
3233.0,200.0,190000.0,16.165,5.2631578947368425,309.3102381688834
3226.0,200.0,190000.0,16.13,5.2631578947368425,309.98140111593307
3225.0,200.0,190000.0,16.125,5.2631578947368425,310.07751937984494
2579.0,250.0,190000.0,10.316,5.2631578947368425,387.747188832881
2579.0,250.0,190000.0,10.316,5.2631578947368425,387.747188832881
2590.0,250.0,190000.0,10.36,5.2631578947368425,386.1003861003861
2149.0,300.0,190000.0,7.163333333333333,5.2631578947368425,465.33271288971616
2148.0,300.0,190000.0,7.16,5.2631578947368425,465.5493482309125
2149.0,300.0,190000.0,7.163333333333333,5.2631578947368425,465.33271288971616
1850.0,350.0,190000.0,5.285714285714286,5.2631578947368425,540.5405405405406
1840.0,350.0,190000.0,5.257142857142857,5.2631578947368425,543.4782608695652
1840.0,350.0,190000.0,5.257142857142857,5.2631578947368425,543.4782608695652
1622.0,400.0,190000.0,4.055,5.2631578947368425,616.5228113440197
1614.0,400.0,190000.0,4.035,5.2631578947368425,619.5786864931846
1613.0,400.0,190000.0,4.0325,5.2631578947368425,619.9628022318661
